
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-29 17,56
108,서울,2018-01-29 18,51
108,서울,2018-01-29 19,48
108,서울,2018-01-29 20,44
108,서울,2018-01-29 21,38
108,서울,2018-01-29 22,40
108,서울,2018-01-29 23,32
108,서울,2018-01-30 00,28
108,서울,2018-01-30 01,29
108,서울,2018-01-30 02,32
108,서울,2018-01-30 03,32
108,서울,2018-01-30 04,30
108,서울,2018-01-30 05,41
108,서울,2018-01-30 06,36
108,서울,2018-01-30 07,35
108,서울,2018-01-30 08,35
108,서울,2018-01-30 09,39
108,서울,2018-01-30 10,56
108,서울,2018-01-30 11,69
108,서울,2018-01-30 12,59
108,서울,2018-01-30 13,62
108,서울,2018-01-30 14,57
108,서울,2018-01-30 15,55
108,서울,2018-01-30 16,43
108,서울,2018-01-30 17,22
108,서울,2018-01-30 18,23
108,서울,2018-01-30 19,24
108,서울,2018-01-30 20,33
108,서울,2018-01-30 21,36
108,서울,2018-01-30 22,29
108,서울,2018-01-30 23,32
108,서울,2018-01-31 00,32
108,서울,2018-01-31 01,37
108,서울,2018-01-31 02,47
108,서울,2018-01-31 03,39
108,서울,2018-01-31 04,42
108,서울,2018-01-31 05,41
108,서울,2018-01-31 06,35
108,서울,2018-01-31 07,29
108,서울,2018-01-31 08,33
108,서울,2018-01-31 09,29
108,서울,2018-01-31 10,50
108,서울,2018-01-31 11,53
108,서울,2018-01-31 12,42
108,서울,2018-01-31 13,45
108,서울,2018-01-31 14,48
108,서울,2018-01-31 15,37
108,서울,2018-01-31 16,30
108,서울,2018-01-31 17,37
108,서울,2018-01-31 18,25
108,서울,2018-01-31 19,15
108,서울,2018-01-31 20,12
108,서울,2018-01-31 21,19
108,서울,2018-01-31 22,22
108,서울,2018-01-31 23,33
108,서울,2018-02-01 00,32
108,서울,2018-02-01 01,39
108,서울,2018-02-01 02,31
108,서울,2018-02-01 03,38
108,서울,2018-02-01 04,32
108,서울,2018-02-01 05,37
108,서울,2018-02-01 06,32
108,서울,2018-02-01 07,29
108,서울,2018-02-01 08,29
108,서울,2018-02-01 09,26
108,서울,2018-02-01 10,43
108,서울,2018-02-01 11,63
108,서울,2018-02-01 12,70
108,서울,2018-02-01 13,60
108,서울,2018-02-01 14,42
108,서울,2018-02-01 15,26
108,서울,2018-02-01 16,20
108,서울,2018-02-01 17,30
108,서울,2018-02-01 18,37
108,서울,2018-02-01 19,16
108,서울,2018-02-01 20,22
108,서울,2018-02-01 21,12
108,서울,2018-02-01 22,26
108,서울,2018-02-01 23,25
108,서울,2018-02-02 00,27
108,서울,2018-02-02 01,30
108,서울,2018-02-02 02,29
108,서울,2018-02-02 03,39
108,서울,2018-02-02 04,37
108,서울,2018-02-02 05,38
108,서울,2018-02-02 06,32
108,서울,2018-02-02 07,36
108,서울,2018-02-02 08,32
108,서울,2018-02-02 09,38
108,서울,2018-02-02 10,55
108,서울,2018-02-02 11,78
108,서울,2018-02-02 12,101
108,서울,2018-02-02 13,101
108,서울,2018-02-02 14,67
108,서울,2018-02-02 15,58
108,서울,2018-02-02 16,46
108,서울,2018-02-02 17,33
108,서울,2018-02-02 18,22
108,서울,2018-02-02 19,26
108,서울,2018-02-02 20,27
108,서울,2018-02-02 21,24
108,서울,2018-02-02 22,28
108,서울,2018-02-02 23,32
108,서울,2018-02-03 00,34
108,서울,2018-02-03 01,24
108,서울,2018-02-03 02,57
108,서울,2018-02-03 03,41
108,서울,2018-02-03 04,35
108,서울,2018-02-03 05,32
108,서울,2018-02-03 06,25
108,서울,2018-02-03 07,22
108,서울,2018-02-03 08,18
108,서울,2018-02-03 09,23
108,서울,2018-02-03 10,35
108,서울,2018-02-03 11,41
108,서울,2018-02-03 12,45
108,서울,2018-02-03 13,47
108,서울,2018-02-03 14,35
108,서울,2018-02-03 15,20
108,서울,2018-02-03 16,27
108,서울,2018-02-03 17,23
108,서울,2018-02-03 18,19
108,서울,2018-02-03 19,13
108,서울,2018-02-03 20,12
108,서울,2018-02-03 21,5
108,서울,2018-02-03 22,15
108,서울,2018-02-03 23,19
108,서울,2018-02-04 00,27
108,서울,2018-02-04 01,24
108,서울,2018-02-04 02,27
108,서울,2018-02-04 03,31
108,서울,2018-02-04 04,27
108,서울,2018-02-04 05,28
108,서울,2018-02-04 06,30
108,서울,2018-02-04 07,28
108,서울,2018-02-04 08,35
108,서울,2018-02-04 09,39
108,서울,2018-02-04 10,40
108,서울,2018-02-04 11,47
108,서울,2018-02-04 12,53
108,서울,2018-02-04 13,52
108,서울,2018-02-04 14,47
108,서울,2018-02-04 15,30
108,서울,2018-02-04 16,30
108,서울,2018-02-04 17,25
108,서울,2018-02-04 18,26
108,서울,2018-02-04 19,9
108,서울,2018-02-04 20,
108,서울,2018-02-04 21,
108,서울,2018-02-04 22,11
108,서울,2018-02-04 23,16
108,서울,2018-02-05 00,19
108,서울,2018-02-05 01,21
